category,movie,title,rating,genre,subgenre,theme,keyword,releasedate,country,review
Action,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon (2000)",10,Adventure,Martial Arts,In the Mood for Love,"coming-of-age, forbidden-love, Kung-Fu, legend  [fable], love, master [expert], revenge, star-crossed-lovers, sword, swordfight, unrequited",8-Dec-00,"China, Hong Kong, Taiwan, USA","Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts spectacular featuring special effects and action sequences courtesy of the choreographer of The Matrix (1999), Yuen Woo Ping. In the early 19th century, martial arts master Li Mu Bai (Chow Yun-Fat) is about to retire and enter a life of meditation, though he quietly longs to avenge the death of his master, who was killed by Jade Fox (Cheng Pei-pei). He gives his sword, a fabled 400-year-old weapon known as Green Destiny, to his friend, fellow martial arts wizard and secret love Yu Shu Lien (Michelle Yeoh), so that she may deliver it to Sir Te (Sihung Lung). Upon arrival in Peking, Yu happens upon Jen (Zhang Ziyi), a vivacious, willful politician's daughter. That night, a mysterious masked thief swipes Green Destiny, with Yu in hot pursuit -- resulting in the first of several martial arts action set pieces during the film. Li arrives in Beijing and eventually discovers that Jen is not only the masked thief but is also in cahoots with the evil Jade. In spite of this, Li sees great talent in Jen as a fighter and offers to school her in the finer points of martial arts and selflessness, an offer that Jen promptly rebukes. This film was first screened to much acclaim at the 2000 Cannes, Toronto, and New York film festivals and became a favorite when Academy Awards nominations were announced in 2001: Tiger snagged ten nods and later secured four wins for Best Cinematography, Score, Art Direction, and Foreign Language Film."
Action,The French Connection,The French Connection (1971),10,Crime,Police Detective Film,"Tough Guys,Adrenaline Rush","police-detective, drug-ring, big-city, chase, drug-bust, heroin, war-on-drugs, subway, train [locomotive]",,USA,"This gritty, fast-paced, and innovative police drama earned five Academy Awards, including Best Picture, Best Adapted Screenplay (written by Ernest Tidyman), and Best Actor (Gene Hackman). Jimmy ""Popeye"" Doyle (Hackman) and his partner, Buddy Russo (Roy Scheider), are New York City police detectives on narcotics detail, trying to track down the source of heroin from Europe into the United States. Suave Alain Charnier (Fernando Rey) is the French drug kingpin who provides a large percentage of New York City's dope, and Pierre Nicoli (Marcel Bozzuffi) is a hired killer and Charnier's right-hand man. Acting on a hunch, Popeye and Buddy start tailing Sal Boca (Tony Lo Bianco) and his wife, Angie (Arlene Faber), who live pretty high for a couple whose corner store brings in about 7,000 dollars a year. It turns out Popeye's suspicions are right -- Sal and Angie are the New York agents for Charnier, who will be smuggling 32 million dollars' worth of heroin into the city in a car shipped over from France. The French Connection broke plenty of new ground for screen thrillers; Popeye Doyle was a highly unusual ""hero,"" an often violent, racist, and mean-spirited cop whose dedication to his job fell just short of dangerous obsession. The film's high point, a high-speed car chase with Popeye tailing an elevated train, was one of the most viscerally exciting screen moments of its day and set the stage for dozens of action sequences to follow. And the film's grimy realism (and downbeat ending) was a big change from the buff-and-shine gloss and good-guys-always-win heroics of most police dramas that preceded it. The French Connection was inspired by a true story, and Eddie Egan and Sonny Grosso, Popeye and Buddy's real life counterparts, both have small roles in the film. A sequel followed four years later."
Action,Raiders of the Lost Ark,Raiders of the Lost Ark (1981),10,Action,Costume Adventure,Adrenaline Rush,"hero, snake, escape, good-vs-evil, treasure, villain, artifact, chase, danger, globetrotter, journey, Nazism, search, against-all-odds, archaeology, evil, jungle, mercenary, love, romance",7-Sep-12,USA,"Indiana Jones (Harrison Ford) is no ordinary archeologist. When we first see him, he is somewhere in the Peruvian jungle in 1936, running a booby-trapped gauntlet (complete with an over-sized rolling boulder) to fetch a solid-gold idol. He loses this artifact to his chief rival, a French archeologist named Belloq (Paul Freeman), who then prepares to kill our hero. In the first of many serial-like escapes, Indy eludes Belloq by hopping into a convenient plane. So, then: is Indiana Jones afraid of anything? Yes, snakes. The next time we see Jones, he's a soft-spoken, bespectacled professor. He is then summoned from his ivy-covered environs by Marcus Brody (Denholm Elliott) to find the long-lost Ark of the Covenant. The Nazis, it seems, are already searching for the Ark, which the mystical-minded Hitler hopes to use to make his stormtroopers invincible. But to find the Ark, Indy must first secure a medallion kept under the protection of Indy's old friend Abner Ravenwood, whose daughter, Marion (Karen Allen), evidently has a ""history"" with Jones. Whatever their personal differences, Indy and Marion become partners in one action-packed adventure after another, ranging from wandering the snake pits of the Well of Souls to surviving the pyrotechnic unearthing of the sacred Ark. A joint project of Hollywood prodigies George Lucas and Steven Spielberg, with a script co-written by Lawrence Kasdan and Philip Kaufman, among others, Raiders of the Lost Ark is not so much a movie as a 115-minute thrill ride. Costing 22 million dollars (nearly three times the original estimate), Raiders of the Lost Ark reaped 200 million dollars during its first run. It was followed by Indiana Jones and the Temple of Doom (1985) and Indiana Jones and the Last Crusade (1989), as well as a short-lived TV-series ""prequel."""
Action,The Revenant,The Revenant (2015),10,Action,Adventure Drama,Tough Guys,,25-Dec-15,USA,"In 1820s America, frontiersman and fur trapper Hugh Glass (Leonardo DiCaprio) and his teenage son Hawk (Forrest Goodluck) join a pelt-gathering expedition. However, their party are attacked by Arikara Native Americans, who kill a number of the men. Glass then tries to lead the remainder of the group to safety, charting a new path to a U.S. fort. Unfortunately, he is soon mauled by a grizzly bear while hunting for food, and is horribly wounded. He is left in the care of roughneck John Fitzgerald (Tom Hardy) and the young and inexperienced Jim Bridger (Will Poulter), while Hawk watches on in horror. Fitzgerald betrays him and leaves him buried alive in a shallow grave, but Glass nurses himself back to health and sets out to seek revenge. Alejandro González Iñárritu directed this pulse-pounding epic."
Action,Thelma & Louise,Thelma & Louise (1991),10,Comedy Drama,Road Movie,Only Human,"women, friendship, on-the-run, rescue, vacation, killing, rape",24-May-91,"Australia, France, USA","Geena Davis and Susan Sarandon play Thelma and Louise, two working-class friends who together have planned a weekend getaway from the men in their lives. Thelma's husband, Darryl (Chris McDonald), is an overbearing oaf, and Louise's boyfriend, Jimmy (Michael Madsen), simply will not commit. Though the road trip starts out as a good time, the pair eventually wind up at a bar. A tipsy Thelma ends up in the parking lot of the bar with a would-be rapist. Louise shoots the man dead. The two decide that they have no choice but to go on the run. They eventually meet up with a young criminal named J.D. (Brad Pitt), whose cowboy spirit rubs off on the timid Thelma. The pair is pursued by a police officer (Harvey Keitel) sympathetic toward their plight. He chases them to the Grand Canyon, where the women make a fateful decision about their lives. Directed by Ridley Scott, Thelma & Louise brought first-time screenwriter Callie Khouri many accolades including the Oscar for Best Original Screenplay."
Action,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre (1948),10,Action,Adventure Drama,"Tough Guys,Adrenaline Rush","betrayal, friendship, greed, outlaw [Western], prospector, scheme, search, suspicion, treasure",24-Jan-48,USA,"John Huston's 1948 treasure-hunt classic begins as drifter Fred C. Dobbs (Humphrey Bogart), down and out in Tampico, Mexico, impulsively spends his last bit of dough on a lottery ticket. Later on, Dobbs and fellow indigent Curtin (Tim Holt) seek shelter in a cheap flophouse and meet Howard (Walter Huston), a toothless, garrulous old coot who regales them with stories about prospecting for gold. Forcibly collecting their pay from their shifty boss, Dobbs and Curtin combine this money with Dobbs's unexpected windfall from a lottery ticket and, together with Howard, buy the tools for a prospecting expedition. Dobbs has pledged that anything they dig up will be split three ways, but Howard, who's heard that song before, doesn't quite swallow this. As the gold is mined and measured, Dobbs grows increasingly paranoid and distrustful, and the men gradually turn against each other on the way toward a bitterly ironic conclusion. The Treasure of the Sierra Madre is a superior morality play and one of the best movie treatments of the corrosiveness of greed.  Huston keeps a typically light and entertaining touch despite the strong theme, for which he won Oscars for both Director and Screenplay, as well as a supporting award for his father Walter, making Walter, John, and Anjelica Huston the only three generations of one family all to win Oscars."
Action,The Dark Knight,The Dark Knight (2008),9,Crime,Crime Drama,"Abandon All Hope,A World of Its Own","mask [disguise], secret-identity, disguise, crimefighter, Superhero, clown",18-Jul-08,USA,"Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming face to face with his greatest nemesis -- the dreaded Joker. Christian Bale returns to the role of Batman, Maggie Gyllenhaal takes over the role of Rachel Dawes (played by Katie Holmes in Batman Begins), and Brokeback Mountain star Heath Ledger dons the ghoulishly gleeful Joker makeup previously worn by Jack Nicholson and Cesar Romero. Just as it begins to appear as if Batman, Lt. James Gordon (Gary Oldman), and District Attorney Harvey Dent (Aaron Eckhart) are making headway in their tireless battle against the criminal element, a maniacal, wisecracking fiend plunges the streets of Gotham City into complete chaos."
Action,Skyfall,Skyfall (2012),9,Action,Action Thriller,Adrenaline Rush,"mission [quest], spy",8-Nov-12,USA,"007 (Daniel Craig) becomes M's only ally as MI6 comes under attack, and a mysterious new villain emerges with a diabolical plan. James Bond's latest mission has gone horribly awry, resulting in the exposure of several undercover agents, and an all-out attack on M16. Meanwhile, as M (Judi Dench) plans to relocate the agency, emerging Chairman of the Intelligence and Security Committee Mallory (Ralph Fiennes) raises concerns about her competence while attempting to usurp her position, and Q (Ben Whishaw) becomes a crucial ally. Now the only person who can restore M's reputation is 007. Operating in the dark with only field agent Eve (Naomie Harris) to guide him, the world's top secret agent works to root out an enigmatic criminal mastermind named Silva (Javier Bardem) as a major storm brews on the horizon. Albert Finney also stars in the 23rd installment of the long-running spy series. The film was directed by Sam Mendes (American Beauty, Revolutionary Road) and shot by acclaimed cinematographer Roger Deakins (True Grit, The Reader, The Assassination of Jesse James by the Coward Robert Ford)."
Action,Hell or High Water,Hell or High Water (2016),9,Action,,Only Human,"bank, bank-robbery, desert, foreclosure, manhunt, police, poverty",12-Aug-16,USA,"Two desperate brothers -- one a divorced father (Chris Pine), the other a hard-living ex-con (Ben Foster) -- commit a string of bank robberies in order to raise the money needed to protect their family farm from foreclosure. Meanwhile, an aging sheriff (Jeff Bridges) tracks the heists in an attempt to hunt down those responsible. This crime drama was written by Taylor Sheridan (Sicario) and directed by David Mackenzie (Starred Up)."
Action,Die Hard,Die Hard (1988),10,Action,Action Thriller,"Tough Guys,Adrenaline Rush","hostage, captor, high-rise, police-negotiator, rescue, marital-problems, one-against-odds, captive, escape, police, terrorism",15-Jul-88,USA,"It's Christmas time in L.A., and there's an employee party in progress on the 30th floor of the Nakatomi Corporation building. The revelry comes to a violent end when the partygoers are taken hostage by a group of terrorists headed by Hans Gruber (Alan Rickman), who plan to steal the 600 million dollars locked in Nakatomi's high-tech safe. In truth, Gruber and his henchmen are only pretending to be politically motivated to throw the authorities off track; also in truth, Gruber has no intention of allowing anyone to get out of the building alive. Meanwhile, New York cop John McClane (Bruce Willis) has come to L.A. to visit his estranged wife, Holly (Bonnie Bedelia), who happens to be one of the hostages. Disregarding the orders of the authorities surrounding the building, McClane, who fears nothing (except heights), takes on the villains, armed with one handgun and plenty of chutzpah. Until Die Hard came along, Bruce Willis was merely that wisecracking guy on Moonlighting. After the film's profits started rolling in, Willis found himself one of the highest-paid and most sought-after leading men in Hollywood."
